,reviews,calories,calories_unit,carbs,carbs_unit,mash_ph
0,25,182,calories,18,g,5.67
1,20,204,calories,19,g,5.49
2,9,203,calories,22,g,5.81
3,8,208,calories,22,g,5.41
4,5,190,calories,17,g,n/a
5,12,182,calories,18,g,n/a
6,13,276,calories,28,g,n/a
7,3,236,calories,24,g,5.58
8,5,236,calories,21,g,n/a
9,5,242,calories,25,g,n/a
10,5,239,calories,25,g,n/a
11,3,215,calories,21,g,n/a
12,6,285,calories,27,g,5.69
13,2,223,calories,23,g,5.64
14,3,135,calories,14,g,n/a
15,1,221,calories,19,g,5.29
16,3,161,calories,14,g,n/a
17,2,224,calories,20,g,n/a
18,1,199,calories,21,g,n/a
19,3,220,calories,25,g,4.65
20,5,225,calories,22,g,5.66
21,4,178,calories,19,g,n/a
22,5,154,calories,15,g,5.79
23,2,178,calories,17,g,5.63
24,1,216,calories,24,g,n/a
25,6,148,calories,15,g,n/a
26,1,279,calories,28,g,n/a
27,0,172,calories,18,g,n/a
28,3,211,calories,20,g,5.65
29,0,172,calories,18,g,n/a
30,1,213,calories,23,g,n/a
31,4,204,calories,19,g,n/a
32,1,185,calories,18,g,n/a
33,2,219,calories,23,g,n/a
34,1,130,calories,11,g,5.78
35,0,150,calories,15,g,n/a
36,0,187,calories,18,g,n/a
37,1,220,calories,26,g,n/a
38,1,202,calories,20,g,n/a
39,0,296,calories,29,g,n/a
40,1,204,calories,19,g,n/a
41,1,212,calories,21,g,n/a
42,2,314,calories,22,g,n/a
43,1,206,calories,22,g,n/a
44,1,270,calories,28,g,n/a
45,2,143,calories,12,g,6.17
46,2,203,calories,22,g,n/a
47,0,336,calories,40,g,n/a
48,3,219,calories,23,g,n/a
49,1,324,calories,33,g,n/a
50,4,180,calories,15,g,5.2
51,0,245,calories,18,g,n/a
52,3,240,calories,27,g,n/a
53,1,162,calories,16,g,n/a
54,0,185,calories,20,g,5.57
55,1,185,calories,20,g,n/a
56,0,130,calories,11,g,n/a
57,0,174,calories,16,g,5.6
58,0,157,calories,14,g,5.74
59,1,205,calories,25,g,n/a
60,0,161,calories,15,g,n/a
61,0,145,calories,15,g,n/a
62,2,198,calories,20,g,n/a
63,0,167,calories,17,g,5.4
64,0,156,calories,13,g,5.3
65,0,206,calories,23,g,5.49
66,2,171,calories,16,g,n/a
67,0,241,calories,21,g,n/a
68,1,239,calories,25,g,n/a
69,1,240,calories,22,g,n/a
70,1,205,calories,20,g,n/a
71,2,214,calories,21,g,5.67
72,0,185,calories,18,g,5.34
73,1,171,calories,16,g,n/a
74,1,168,calories,17,g,n/a
75,0,218,calories,21,g,n/a
76,0,168,calories,18,g,n/a
77,1,228,calories,23,g,5.66
78,0,288,calories,31,g,n/a
79,0,182,calories,19,g,n/a
80,0,163,calories,14,g,n/a
81,0,151,calories,16,g,n/a
82,0,146,calories,13,g,5.29
83,1,165,calories,17,g,n/a
84,1,246,calories,26,g,n/a
85,1,172,calories,18,g,n/a
86,1,199,calories,22,g,n/a
87,0,229,calories,17,g,n/a
88,1,169,calories,18,g,n/a
89,1,176,calories,15,g,n/a
90,0,268,calories,31,g,n/a
91,1,108,calories,11,g,n/a
92,0,156,calories,17,g,n/a
93,4,190,calories,17,g,n/a
94,1,325,calories,35,g,n/a
95,0,287,calories,29,g,n/a
96,1,115,calories,12,g,n/a
97,0,195,calories,18,g,5.68
98,2,193,calories,17,g,n/a
99,0,162,calories,16,g,n/a
100,0,188,calories,17,g,5.6
101,2,141,calories,14,g,5.8
102,1,164,calories,15,g,n/a
103,0,173,calories,19,g,n/a
104,0,219,calories,24,g,n/a
105,1,389,calories,39,g,n/a
106,0,198,calories,20,g,n/a
107,0,258,calories,29,g,5.58
108,0,149,calories,13,g,n/a
109,0,173,calories,17,g,5.41
110,0,173,calories,19,g,n/a
111,0,303,calories,25,g,n/a
112,0,196,calories,17,g,n/a
113,0,213,calories,22,g,n/a
114,1,250,calories,23,g,n/a
115,1,249,calories,26,g,n/a
116,2,276,calories,33,g,n/a
117,1,168,calories,18,g,5.41
118,1,201,calories,19,g,n/a
119,0,290,calories,29,g,n/a
120,0,281,calories,32,g,n/a
121,0,205,calories,21,g,n/a
122,0,242,calories,25,g,n/a
123,2,176,calories,19,g,n/a
124,1,275,calories,22,g,n/a
125,0,155,calories,16,g,n/a
126,0,295,calories,34,g,n/a
127,1,226,calories,24,g,5.69
128,1,199,calories,23,g,n/a
129,1,198,calories,20,g,n/a
130,0,182,calories,17,g,5.34
131,0,188,calories,20,g,5.77
132,0,319,calories,30,g,n/a
133,0,194,calories,18,g,n/a
134,0,276,calories,24,g,n/a
135,2,176,calories,19,g,n/a
136,0,160,calories,14,g,n/a
137,1,256,calories,25,g,5.51
138,0,181,calories,17,g,5.3
139,0,213,calories,24,g,n/a
140,1,185,calories,19,g,n/a
141,0,175,calories,18,g,n/a
142,0,247,calories,27,g,n/a
143,1,199,calories,22,g,n/a
144,0,187,calories,18,g,n/a
145,0,322,calories,34,g,n/a
146,0,183,calories,20,g,n/a
147,0,221,calories,21,g,5.65
148,0,251,calories,29,g,n/a
149,0,197,calories,19,g,n/a
150,0,204,calories,19,g,n/a
151,0,242,calories,25,g,n/a
152,0,170,calories,15,g,5.3
153,0,216,calories,24,g,n/a
154,1,202,calories,20,g,n/a
155,0,193,calories,17,g,n/a
156,1,198,calories,20,g,n/a
157,1,232,calories,22,g,n/a
158,0,149,calories,12,g,n/a
159,0,190,calories,17,g,4.2
160,0,315,calories,24,g,5.34
161,1,168,calories,17,g,n/a
162,0,175,calories,11,g,5.34
163,1,207,calories,20,g,n/a
164,0,298,calories,26,g,n/a
165,1,212,calories,21,g,n/a
166,0,158,calories,16,g,n/a
167,0,236,calories,20,g,n/a
168,1,204,calories,23,g,n/a
169,1,161,calories,14,g,n/a
170,1,177,calories,17,g,n/a
171,1,156,calories,13,g,n/a
172,0,223,calories,23,g,n/a
173,0,185,calories,19,g,n/a
174,0,192,calories,20,g,n/a
175,0,204,calories,19,g,n/a
