,title,final_size,ABV,IBU,OG,FG,color,views,brewed,rating,boil_size,boil_time,boil_grav,pitch_rate,temp_prim,efficiency,mash_thick,reviews,calories,carbs,mash_ph,has_prim_data,has_mash_ph,has_mash_thick,has_pitch_rate,method_AllGrain,method_BIAB,method_Extract,method_PartialMash,d_G_abs,d_G_pct,d_size_abs,d_size_pct,style_under_threshold,style_AmericanAmberAle,style_AmericanBrownAle,style_AmericanIPA,style_AmericanLightLager,style_AmericanPaleAle,style_AmericanStout,style_BlondeAle,style_CreamAle,style_ImperialIPA,style_IrishRedAle,style_Kölsch,style_OatmealStout,style_RobustPorter,style_RussianImperialStout,style_Saison,style_SpecialtyIPA:NewEnglandIPA,style_SweetStout,style_Weissbier,style_Weizen/Weissbier,style_Witbier,beer_style
0,Sierra Nevada Pale Ale Clone,24.605176596,5.58,40.12,1.055,1.013,8.0,224412,556,4.79,29.336941325999998,70,1.047,1.0,,79,,25,182,18,5.67,0,1,0,1,1,0,0,0,0.04200000000000004,0.0398104265402844,4.731764729999998,0.1612903225806451,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
1,Avg. Perfect Northeast IPA (NEIPA),21.766117758,6.5,50.6,1.062,1.013,5.2,231660,280,4.65,28.39058838,60,1.048,,,70,1.25,20,204,19,5.49,1,1,1,0,1,0,0,0,0.049000000000000155,0.046139359698681874,6.6244706220000005,0.23333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SpecialtyIPA:NewEnglandIPA
2,Zombie Dust Clone - ALL GRAIN,22.712470703999998,5.94,54.57,1.061,1.016,8.5,191290,191,4.66,26.497882488,60,1.053,,,70,,9,203,22,5.81,0,1,0,0,1,0,0,0,0.04499999999999993,0.04241281809613565,3.785411784000001,0.1428571428571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
3,Zombie Dust Clone - EXTRACT,18.92705892,6.16,64.77,1.063,1.016,8.98,176309,155,4.62,22.712470703999998,60,1.052,,,70,,8,208,22,5.41,0,1,0,0,0,0,1,0,0.04699999999999993,0.04421448730009401,3.7854117839999972,0.16666666666666657,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
4,Simple Citra IPA - One Gallon,3.785411784,6.1,37.06,1.058,1.011,11.45,44521,123,4.79,5.678117675999999,60,1.0390000000000001,0.35,18.333333333333332,55,1.5,5,190,17,,0,0,1,1,1,0,0,0,0.04700000000000015,0.04442344045368634,1.8927058919999995,0.33333333333333326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
5,Vanilla Cream Ale,21.766117758,5.48,17.65,1.055,1.013,4.83,252272,97,4.66,28.39058838,75,1.038,,17.77777777777778,70,,12,182,18,,1,0,0,0,1,0,0,0,0.04200000000000004,0.0398104265402844,6.6244706220000005,0.23333333333333334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CreamAle
6,Southern Tier Pumking clone,20.819764812,8.16,60.65,1.083,1.021,15.64,177460,91,4.61,24.605176596,60,1.07,,,70,,13,276,28,,0,0,0,0,1,0,0,0,0.062000000000000055,0.05724838411819026,3.785411784000001,0.15384615384615388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holiday/WinterSpecialSpicedBeer
7,Great Lakes Christmas Ale Clone,22.712470703999998,7.16,29.1,1.071,1.0170000000000001,10.98,31377,80,4.66,30.699689568239997,60,1.053,0.35,21.11111111111111,70,,3,236,24,5.58,0,1,0,1,0,1,0,0,0.053999999999999826,0.05042016806722673,7.987218864239999,0.2601726263871763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WinterSeasonalBeer
8,Siddhartha of Suburbia Saison,20.819764812,7.66,31.43,1.072,1.013,6.24,22186,60,4.79,26.497882488,60,1.056,,,70,,5,236,21,,0,0,0,0,1,0,0,0,0.05900000000000016,0.05503731343283597,5.678117675999999,0.21428571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Saison
9,Bells two hearted clone,20.819764812,7.14,61.83,1.073,1.018,8.1,151400,57,3.79,24.605176596,60,1.061,0.75,18.333333333333332,75,,5,242,25,,0,0,0,1,1,0,0,0,0.05499999999999994,0.05125815470643051,3.785411784000001,0.15384615384615388,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
11,Goose Island IPA Clone,20.819764812,6.63,55.52,1.065,1.015,9.47,62748,54,5.0,28.39058838,60,1.048,,17.77777777777778,75,1.5,3,215,21,,0,0,1,0,1,0,0,0,0.050000000000000044,0.04694835680751178,7.570823568000002,0.2666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EnglishIPA
12,Mango Habanero IPA,20.819764812,8.88,109.28,1.0859999999999999,1.018,8.55,163361,53,5.0,28.39058838,60,1.063,,21.11111111111111,70,,6,285,27,5.69,1,1,0,0,1,0,0,0,0.06799999999999984,0.06261510128913429,7.570823568000002,0.2666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ImperialIPA
13,Julius | Tree House Brewing (approximation) Braumeister 20L,21.0,6.6,42.96,1.067,1.0170000000000001,5.57,26156,48,5.0,25.0,70,1.054,0.75,20.0,73,,2,223,23,5.64,0,1,0,1,0,1,0,0,0.04999999999999982,0.04686035613870649,4.0,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
14,Biermuncher's Centennial Blonde,20.819764812,3.83,21.02,1.041,1.011,3.73,24615,48,5.0,24.605176596,60,,,,70,,3,135,14,,1,0,0,0,1,0,0,0,0.030000000000000027,0.02881844380403461,3.785411784000001,0.15384615384615388,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BlondeAle
16,Cascade Pale Ale,20.819764812,5.24,40.86,1.0490000000000002,1.0090000000000001,3.79,30614,46,5.0,26.497882488,60,,,,75,,3,161,14,,0,0,0,0,1,0,0,0,0.040000000000000036,0.03813155386081986,5.678117675999999,0.21428571428571427,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
17,Syntax Error IPA II,42.0,7.2,105.67,1.068,1.013,7.77,17745,45,4.5,52.0,60,1.055,,19.0,68,2.0,2,224,20,,0,0,1,0,1,0,0,0,0.05500000000000016,0.05149812734082412,10.0,0.19230769230769232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
